@relation training_50.arff

@attribute THROWS numeric
@attribute GOTO numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute ASSIGNMENTS numeric
@attribute LOCALS numeric
@attribute IF numeric
@attribute DEREFERNCES numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,5,0,2,6,0,4,2,2,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,6,0,2,7,0,5,2,2,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,0,3,0,1,4,0,2,0,1,0,0,?
0,2,6,0,2,7,1,3,0,2,0,1,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,0,4,0,1,4,0,3,1,1,0,0,?
0,3,14,6,8,22,3,3,0,2,1,0,?
1,2,14,5,8,22,2,4,0,3,2,0,?
0,5,17,6,10,26,4,2,0,1,0,3,?
0,1,7,2,4,10,1,2,0,1,0,1,?
0,1,4,1,1,4,1,1,0,0,0,1,?
0,3,9,2,4,12,3,3,0,2,0,2,?
0,8,24,9,14,36,7,4,0,3,0,4,?
0,4,13,4,7,19,4,4,0,3,0,3,?
0,7,21,8,12,31,6,3,0,2,0,4,?
0,3,10,3,5,14,3,3,0,2,0,3,?
0,6,37,19,23,62,5,7,0,5,3,5,?
0,6,29,13,17,46,5,6,0,4,2,5,?
0,4,26,11,16,43,4,7,0,5,2,4,?
0,4,18,5,10,27,4,6,0,4,1,4,?
0,3,22,9,13,36,3,6,0,4,2,3,?
0,3,14,3,7,20,3,5,0,3,1,3,?
0,18,104,26,62,218,11,34,0,31,0,3,?
0,18,104,26,62,218,11,34,0,31,0,3,?
0,16,100,25,60,213,10,33,0,30,0,3,?
0,16,100,25,60,213,10,33,0,30,0,3,?
0,18,104,26,62,218,11,34,0,31,0,3,?
0,16,100,25,60,213,10,33,0,30,0,3,?
0,16,102,26,62,218,11,34,0,31,0,3,?
0,16,100,25,60,213,10,33,0,30,0,3,?
0,14,96,24,58,208,9,32,0,29,0,3,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,15,101,26,62,218,11,34,0,31,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,13,95,24,58,208,9,32,0,29,0,3,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,15,101,26,62,218,11,34,0,31,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,13,95,24,58,208,9,32,0,29,0,3,?
0,16,102,26,62,218,11,34,0,31,0,3,?
0,16,102,26,62,218,11,34,0,31,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,16,102,26,62,218,11,34,0,31,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,14,100,26,62,218,11,34,0,31,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,12,94,24,58,208,9,32,0,29,0,3,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,15,101,26,62,218,11,34,0,31,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,13,95,24,58,208,9,32,0,29,0,3,?
0,16,102,26,62,218,11,34,0,31,0,3,?
0,16,102,26,62,218,11,34,0,31,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,16,102,26,62,218,11,34,0,31,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,14,100,26,62,218,11,34,0,31,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,12,94,24,58,208,9,32,0,29,0,3,?
0,16,102,26,62,218,11,34,0,31,0,3,?
0,16,102,26,62,218,11,34,0,31,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,16,102,26,62,218,11,34,0,31,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,14,100,26,62,218,11,34,0,31,0,3,?
0,14,98,25,60,213,10,33,0,30,0,3,?
0,12,94,24,58,208,9,32,0,29,0,3,?
0,15,101,26,62,218,11,34,0,31,0,3,?
0,15,101,26,62,218,11,34,0,31,0,3,?
0,13,97,25,60,213,10,33,0,30,0,3,?
0,13,97,25,60,213,10,33,0,30,0,3,?
0,15,101,26,62,218,11,34,0,31,0,3,?
0,13,97,25,60,213,10,33,0,30,0,3,?
0,13,99,26,62,218,11,34,0,31,0,3,?
0,13,97,25,60,213,10,33,0,30,0,3,?
0,11,93,24,58,208,9,32,0,29,0,3,?
0,16,101,26,61,215,10,33,0,30,0,2,?
0,16,101,26,61,215,10,33,0,30,0,2,?
0,14,97,25,59,210,9,32,0,29,0,2,?
0,14,97,25,59,210,9,32,0,29,0,2,?
0,16,101,26,61,215,10,33,0,30,0,2,?
0,14,97,25,59,210,9,32,0,29,0,2,?
0,14,99,26,61,215,10,33,0,30,0,2,?
0,14,97,25,59,210,9,32,0,29,0,2,?
0,12,93,24,57,205,8,31,0,28,0,2,?
0,15,100,26,61,215,10,33,0,30,0,2,?
0,15,100,26,61,215,10,33,0,30,0,2,?
0,13,96,25,59,210,9,32,0,29,0,2,?
0,13,96,25,59,210,9,32,0,29,0,2,?
0,15,100,26,61,215,10,33,0,30,0,2,?
0,13,96,25,59,210,9,32,0,29,0,2,?
0,13,98,26,61,215,10,33,0,30,0,2,?
0,13,96,25,59,210,9,32,0,29,0,2,?
0,11,92,24,57,205,8,31,0,28,0,2,?
0,15,100,26,61,215,10,33,0,30,0,2,?
0,15,100,26,61,215,10,33,0,30,0,2,?
0,13,96,25,59,210,9,32,0,29,0,2,?
0,13,96,25,59,210,9,32,0,29,0,2,?
0,15,100,26,61,215,10,33,0,30,0,2,?
0,13,96,25,59,210,9,32,0,29,0,2,?
0,13,98,26,61,215,10,33,0,30,0,2,?
0,13,96,25,59,210,9,32,0,29,0,2,?
0,11,92,24,57,205,8,31,0,28,0,2,?
0,14,99,26,61,215,10,33,0,30,0,2,?
0,14,99,26,61,215,10,33,0,30,0,2,?
0,12,95,25,59,210,9,32,0,29,0,2,?
0,12,95,25,59,210,9,32,0,29,0,2,?
0,14,99,26,61,215,10,33,0,30,0,2,?
0,12,95,25,59,210,9,32,0,29,0,2,?
0,12,97,26,61,215,10,33,0,30,0,2,?
0,12,95,25,59,210,9,32,0,29,0,2,?
0,10,91,24,57,205,8,31,0,28,0,2,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,17,103,26,62,218,11,34,0,31,0,3,?
0,15,99,25,60,213,10,33,0,30,0,3,?
0,15,101,26,62,218,11,34,0,31,0,3,?
